CAR;PV;nbki;ind_noNbki;equi;ind_noEqui;def90_365
новый;0.15;648;0;697;0;0
новый;0.1992;774;0;587;0;0
новый;0.1639;618;0;556;0;0
новый;0.1996;721;0;526;0;0
б/у;0.2;561;0;509;0;0
б/у;0.3247;0;1;669;0;0
новый;0.3008;718;0;596;0;0
новый;0.3263;666;0;660;0;0
новый;0.2645;477;0;0;1;0
новый;0.2005;660;0;546;0;0
новый;0.7715;0;1;0;1;0
б/у;0.1528;646;0;430;0;0
новый;0.8481;0;1;0;1;0
новый;0.4003;758;0;0;1;0
новый;0.1513;646;0;490;0;0
б/у;0.2;521;0;316;0;0
новый;0.7998;0;1;0;1;0
новый;0.4545;715;0;674;0;0
новый;0.3;0;1;624;0;0
новый;0.2006;585;0;496;0;0
новый;0.8637;733;0;0;1;0
новый;0.2036;607;0;591;0;0
новый;0.3;665;0;490;0;0
б/у;0.2821;770;0;603;0;0
новый;0.1761;609;0;527;0;0
б/у;0.2151;0;1;0;1;0
новый;0.1502;634;0;489;0;0
б/у;0.1724;728;0;0;1;0
новый;0.1;0;1;0;1;0
б/у;0.3039;727;0;734;0;0
б/у;0.3636;797;0;661;0;0
б/у;0.6492;717;0;500;0;0
новый;0.6674;629;0;0;1;0
б/у;0.1556;606;0;0;1;0
новый;0.3295;0;1;665;0;0
новый;0.2012;732;0;547;0;0
новый;0.2465;759;0;594;0;0
новый;0.4026;655;0;517;0;0
новый;0.1335;709;0;621;0;0
новый;0.1514;0;1;592;0;0
новый;0.115;0;1;0;1;0
новый;0.1;763;0;672;0;0
новый;0.3;719;0;581;0;0
новый;0.1429;677;0;679;0;0
новый;0.3012;718;0;712;0;0
новый;0.5;770;0;444;0;0
новый;0.2354;0;1;0;1;0
новый;0.4;0;1;0;1;0
б/у;0;651;0;656;0;0
новый;0.5721;680;0;582;0;0
новый;0.5706;648;0;561;0;0
новый;0.4013;615;0;428;0;0
новый;0.1237;640;0;483;0;0
б/у;0.2143;0;1;604;0;0
новый;0.1;765;0;719;0;0
новый;0.1;616;0;456;0;0
новый;0.2473;728;0;623;0;0
новый;0.5361;633;0;506;0;0
новый;0.5222;708;0;592;0;0
новый;0.1025;618;0;463;0;1
б/у;0.5169;679;0;0;1;0
б/у;0.3;744;0;646;0;0
б/у;0.2694;705;0;536;0;0
б/у;0.2667;0;1;0;1;0
б/у;0.4;717;0;608;0;0
б/у;0.1562;654;0;568;0;0
новый;0.4205;726;0;0;1;0
новый;0.1327;0;1;599;0;0
новый;0.51;505;0;665;0;0
новый;0.2076;584;0;0;1;0
новый;0.2581;0;1;518;0;0
новый;0.1009;0;1;518;0;1
б/у;0.1667;0;1;0;1;0
новый;0.1104;633;0;515;0;0
новый;0.15;0;1;0;1;0
новый;0.2667;631;0;494;0;0
б/у;0.4255;592;0;428;0;0
б/у;0.2061;518;0;529;0;1
б/у;0.1508;738;0;574;0;0
новый;0.484;0;1;751;0;0
новый;0.4005;0;1;0;1;0
новый;0.1733;613;0;474;0;0
новый;0.2646;600;0;401;0;0
б/у;0.1526;489;0;437;0;0
новый;0.3422;691;0;641;0;0
б/у;0.1565;725;0;609;0;0
новый;0.339;544;0;448;0;0
новый;0.1086;0;1;516;0;0
б/у;0.25;618;0;362;0;0
новый;0.4;621;0;0;1;0
новый;0.15;511;0;425;0;0
новый;0.1518;729;0;551;0;0
б/у;0.15;0;1;0;1;0
б/у;0.35;597;0;0;1;0
новый;0.4;722;0;678;0;0
новый;0.1033;779;0;0;1;0
новый;0.2044;460;0;527;0;0
новый;0.1603;0;1;0;1;0
новый;0.3963;0;1;452;0;0
новый;0.3107;756;0;0;1;0
б/у;0.5185;639;0;594;0;0
новый;0.3;0;1;626;0;0
б/у;0.2;0;1;519;0;0
б/у;0.15;0;1;437;0;1
новый;0.4655;600;0;853;0;0
новый;0.3002;702;0;522;0;0
б/у;0.1516;735;0;414;0;0
б/у;0.2667;623;0;790;0;0
новый;0.1019;571;0;458;0;0
б/у;0.1667;641;0;481;0;0
новый;0.1529;673;0;452;0;0
новый;0.3045;700;0;616;0;0
новый;0.3705;778;0;584;0;0
новый;0.3462;736;0;616;0;0
новый;0.3651;684;0;587;0;0
новый;0.1518;677;0;573;0;0
новый;0.1543;0;1;581;0;0
новый;0.317;704;0;731;0;0
б/у;0.2;0;1;0;1;0
новый;0.3405;644;0;513;0;0
новый;0.1518;0;1;0;1;0
новый;0.4;573;0;507;0;0
б/у;0.3158;700;0;753;0;0
новый;0.4633;0;1;0;1;0
новый;0.1014;731;0;588;0;0
б/у;0.3333;708;0;462;0;0
б/у;0.2632;0;1;391;0;0
б/у;0.2105;0;1;613;0;1
новый;0.2009;732;0;730;0;0
б/у;0.1667;602;0;506;0;0
новый;0.1191;648;0;0;1;0
новый;0.3016;689;0;740;0;0
новый;0.3006;703;0;604;0;0
б/у;0.3846;742;0;760;0;0
новый;0.4927;788;0;0;1;0
новый;0.4086;555;0;0;1;0
новый;0.1;0;1;503;0;0
новый;0.1524;688;0;574;0;0
новый;0.15;0;1;675;0;0
новый;0.6032;678;0;707;0;0
новый;0.2;0;1;0;1;0
б/у;0.1736;609;0;490;0;0
новый;0.2737;0;1;683;0;0
новый;0.1411;598;0;529;0;0
б/у;0.1505;0;1;0;1;1
новый;0.1;604;0;532;0;0
новый;0.1315;590;0;0;1;0
новый;0.1;564;0;508;0;1
б/у;0.3234;667;0;484;0;1
новый;0.1025;577;0;538;0;1
новый;0.4732;764;0;660;0;0
новый;0.3472;603;0;689;0;0
новый;0.6784;634;0;0;1;0
б/у;0.3784;671;0;574;0;0
новый;0.2128;0;1;0;1;0
новый;0.2005;0;1;740;0;0
б/у;0.3896;683;0;0;1;0
новый;0.2744;709;0;0;1;0
новый;0.2615;711;0;693;0;0
б/у;0.225;0;1;497;0;1
новый;0.471;688;0;601;0;0
новый;0.146;749;0;747;0;0
новый;0.1;490;0;286;0;1
б/у;0.2183;584;0;520;0;0
новый;0.2;0;1;0;1;0
новый;0.2;646;0;479;0;0
б/у;0.2;694;0;0;1;0
б/у;0.4444;614;0;563;0;0
новый;0.3054;683;0;572;0;0
б/у;0.48;525;0;407;0;0
б/у;0.1513;581;0;516;0;0
новый;0.2238;690;0;418;0;0
новый;0.6326;701;0;503;0;0
новый;0.5;681;0;728;0;0
новый;0.1667;698;0;504;0;0
новый;0.3016;660;0;596;0;0
новый;0.1002;599;0;615;0;0
новый;0.3823;736;0;581;0;0
б/у;0.215;588;0;492;0;1
новый;0.1675;0;1;0;1;0
новый;0.4687;656;0;589;0;0
б/у;0.1503;0;1;0;1;1
новый;0.1;673;0;0;1;0
новый;0.1075;572;0;499;0;0
новый;0.3707;0;1;0;1;0
новый;0.4385;710;0;0;1;0
новый;0.1833;681;0;499;0;0
новый;0.5903;0;1;651;0;0
новый;0.3533;756;0;645;0;0
новый;0.4615;716;0;0;1;0
новый;0.5442;702;0;0;1;0
новый;0.3006;707;0;420;0;0
новый;0.2169;739;0;636;0;0
новый;0.1022;684;0;642;0;0
новый;0.6337;540;0;0;1;0
б/у;0.6818;0;1;0;1;0
новый;0.1737;691;0;518;0;0
б/у;0.3333;719;0;601;0;0
новый;0.1945;645;0;0;1;0
б/у;0.4598;0;1;0;1;0
новый;0.1;416;0;503;0;1
новый;0.3002;0;1;627;0;0
новый;0.2059;0;1;0;1;0
новый;0.15;641;0;608;0;0
новый;0.1042;498;0;410;0;1
б/у;0.2941;648;0;648;0;0
новый;0.1639;627;0;501;0;0
б/у;0.2;0;1;0;1;0
новый;0.1816;642;0;634;0;0
новый;0.3212;627;0;464;0;0
б/у;0.2887;0;1;0;1;0
новый;0.4624;685;0;580;0;0
новый;0.515;0;1;0;1;0
новый;0.1061;691;0;549;0;0
б/у;0.3111;0;1;0;1;0
новый;0.2677;625;0;468;0;1
новый;0.3109;661;0;492;0;0
новый;0.1023;601;0;0;1;0
новый;0.5004;0;1;0;1;0
новый;0.4031;626;0;644;0;0
б/у;0.2619;675;0;553;0;0
б/у;0;613;0;424;0;0
новый;0.2;659;0;533;0;1
новый;0.1549;0;1;588;0;0
новый;0.1506;673;0;0;1;0
новый;0.4038;792;0;720;0;0
новый;0.4;608;0;485;0;1
б/у;0.3103;580;0;473;0;1
б/у;0.15;628;0;440;0;0
новый;0.1005;0;1;0;1;0
новый;0.67;769;0;671;0;0
новый;0.2783;0;1;579;0;0
новый;0.18;0;1;0;1;0
б/у;0.2;0;1;0;1;1
новый;0.2;472;0;0;1;0
новый;0.1716;717;0;0;1;0
б/у;0;688;0;670;0;0
новый;0.5356;729;0;703;0;0
б/у;0.2008;501;0;404;0;0
новый;0.1008;741;0;723;0;0
б/у;0.566;756;0;620;0;0
новый;0.439;0;1;700;0;0
новый;0.15;680;0;0;1;0
новый;0.1715;0;1;0;1;0
новый;0.4119;724;0;693;0;0
новый;0.3835;693;0;534;0;0
новый;0.3514;0;1;662;0;0
новый;0.5278;753;0;0;1;0
новый;0.3001;0;1;474;0;0
новый;0.1072;0;1;0;1;0
новый;0.6632;650;0;510;0;0
новый;0.1519;0;1;0;1;0
б/у;0.2658;0;1;643;0;0
новый;0.2;674;0;565;0;0
новый;0.2216;690;0;668;0;0
новый;0.4792;721;0;612;0;0
новый;0.3671;594;0;589;0;0
новый;0.1;555;0;318;0;1
б/у;0.2037;582;0;463;0;1
новый;0.2017;736;0;723;0;0
б/у;0.1515;0;1;348;0;1
новый;0.303;0;1;0;1;0
б/у;0.2051;0;1;0;1;0
новый;0.1188;0;1;0;1;0
новый;0.1003;670;0;474;0;0
б/у;0.2;0;1;560;0;0
б/у;0.1529;516;0;419;0;0
б/у;0.15;678;0;526;0;0
новый;0.6274;522;0;0;1;0
новый;0.4139;0;1;735;0;0
б/у;0;695;0;0;1;0
б/у;0.15;685;0;504;0;1
б/у;0.5;766;0;621;0;0
новый;0.1513;723;0;767;0;0
б/у;0.2074;552;0;390;0;0
б/у;0.3138;689;0;586;0;0
б/у;0.3;0;1;0;1;0
б/у;0.1875;597;0;528;0;1
новый;0.521;0;1;0;1;0
новый;0.1002;0;1;0;1;0
новый;0.1815;567;0;411;0;0
новый;0.3846;0;1;0;1;0
новый;0.1503;620;0;493;0;0
б/у;0.1512;0;1;0;1;0
новый;0.3039;635;0;526;0;0
б/у;0.2;603;0;474;0;0
новый;0.1104;750;0;604;0;0
б/у;0.15;695;0;0;1;0
б/у;0.15;734;0;0;1;0
новый;0.1022;599;0;470;0;0
новый;0.6421;754;0;0;1;0
новый;0.1543;570;0;501;0;0
новый;0.3016;653;0;513;0;0
новый;0.1099;604;0;544;0;0
б/у;0.2101;729;0;577;0;1
б/у;0.1958;625;0;541;0;0
б/у;0.3036;0;1;0;1;0
б/у;0.3636;704;0;592;0;0
новый;0.1505;641;0;0;1;0
б/у;0.25;702;0;666;0;0
новый;0.1007;659;0;431;0;1
б/у;0.2;755;0;532;0;0
новый;0.6165;0;1;717;0;0
новый;0.5001;669;0;678;0;0
новый;0.1508;0;1;661;0;0
б/у;0.2;696;0;562;0;0
новый;0.1158;0;1;0;1;0
новый;0.3039;633;0;539;0;0
б/у;0.2632;706;0;574;0;0
б/у;0.3605;554;0;413;0;0
новый;0.7798;746;0;0;1;0
новый;0.225;701;0;559;0;0
новый;0.4337;757;0;0;1;0
б/у;0.2009;653;0;517;0;0
б/у;0.1575;616;0;547;0;1
новый;0.113;644;0;489;0;0
новый;0.6043;710;0;705;0;0
новый;0.1518;664;0;554;0;0
новый;0.4605;654;0;464;0;0
новый;0.3003;0;1;0;1;0
новый;0.1515;773;0;630;0;0
новый;0.101;715;0;0;1;0
новый;0.1;493;0;572;0;0
новый;0.1492;0;1;465;0;0
новый;0.2308;634;0;545;0;0
б/у;0.3046;0;1;765;0;0
б/у;0.3883;581;0;684;0;0
новый;0.1879;620;0;665;0;0
новый;0.1;554;0;507;0;0
б/у;0.2;682;0;644;0;0
новый;0.1019;761;0;609;0;0
б/у;0.1509;690;0;569;0;0
новый;0.1;593;0;662;0;0
новый;0.1;743;0;493;0;1
новый;0.101;685;0;709;0;0
новый;0.1;655;0;615;0;0
б/у;0.7868;0;1;0;1;0
новый;0.202;568;0;395;0;0
новый;0.2081;671;0;509;0;0
б/у;0.1538;618;0;393;0;0
б/у;0.2717;613;0;449;0;0
б/у;0.157;510;0;484;0;0
новый;0.1026;0;1;772;0;0
новый;0.1517;743;0;536;0;0
новый;0.4203;673;0;516;0;0
новый;0.1004;0;1;0;1;0
б/у;0.3;0;1;570;0;0
б/у;0.3137;0;1;530;0;1
б/у;0.2;599;0;0;1;1
новый;0.3226;631;0;634;0;0
б/у;0.3;0;1;0;1;0
новый;0.1504;718;0;594;0;0
б/у;0.4;753;0;0;1;0
новый;0.3004;755;0;632;0;0
новый;0.6717;745;0;0;1;0
б/у;0.15;712;0;618;0;0
новый;0.4258;0;1;607;0;0
новый;0.519;738;0;704;0;0
б/у;0.4902;654;0;0;1;0
новый;0.3289;0;1;0;1;0
новый;0.2388;720;0;628;0;0
новый;0.3065;0;1;619;0;0
б/у;0.4017;652;0;588;0;0
новый;0.3075;786;0;649;0;0
новый;0.1516;628;0;0;1;0
б/у;0.152;623;0;413;0;0
новый;0.3413;724;0;0;1;0
новый;0.3615;669;0;604;0;0
новый;0.1081;636;0;590;0;0
новый;0.3005;695;0;0;1;0
новый;0.1577;640;0;466;0;0
новый;0.1953;767;0;714;0;0
новый;0.15;577;0;559;0;0
новый;0.1;706;0;632;0;0
новый;0.1;686;0;612;0;0
новый;0.5278;0;1;0;1;0
новый;0.1003;605;0;543;0;0
новый;0.1071;683;0;638;0;0
б/у;0.1505;659;0;442;0;1
новый;0.1019;660;0;690;0;0
новый;0.15;637;0;649;0;0
б/у;0.339;503;0;335;0;0
новый;0.3;722;0;549;0;0
новый;0.2855;738;0;651;0;0
новый;0.1469;661;0;630;0;0
б/у;0.2;747;0;522;0;0
б/у;0.5769;734;0;661;0;0
новый;0.3358;0;1;607;0;0
новый;0.2;0;1;0;1;0
новый;0.103;726;0;0;1;0
новый;0.1025;697;0;506;0;0
новый;0.3908;775;0;657;0;0
